price,market_cap,total_volume
57987.85,1144983177152.221,37550380696.7459
56132.4,1109212553022.4158,30005773445.693718
53923.36,1065462041080.5197,50260816556.81667
54150.94,1068954727890.2039,17048448412.007126
54792.41,1085390277573.522,18644823662.23431
57049.12,1126840069631.8132,35655419448.07046
57624.16,1137928777838.5286,29676093302.30697
57381.76,1134292554478.847,37765652735.2964
58106.95,1148469900814.253,34177859933.02337
60620.63,1197832322916.0117,31919740723.76027
60003.3,1185255944124.8464,15800120841.166773
59214.8,1169677517083.0613,17289597542.866756
58211.12,1150499194409.9338,32196570894.402115
60317.03,1191818552363.6113,34191170117.78261
61440.41,1211837853548.9263,40445339415.1129
62966.53,1243871590271.4927,41959080716.28771
63128.22,1246475981189.1353,35587830476.533394
63403.4,1254104417392.48,12938083115.659332
63582.6,1255899286380.1958,20349365412.816723
63327.03,1251095079247.0432,23998847798.757656
64334.14,1271183646356.5713,31490984593.70592
63151.9,1245721254991.302,26087643765.748165
65130.77,1287151352432.846,37995568903.94455
65791.0,1299708226182.0723,32664917503.931107
65934.11,1303217687717.8518,15342911002.84781
65663.69,1297825615076.3352,12948707838.938381
63243.28,1249577803402.1707,35124446789.27111
60872.67,1202927109017.5488,54251488433.95029
60655.56,1198652098493.4897,41870731291.86736
60727.86,1200491237695.5154,37711138441.76231
62103.01,1226663492771.043,30349059838.684578
62091.93,1226761949791.163,11095453162.990673
62811.8,1241834324867.657,14592422860.685436
62287.39,1231091696620.0955,33878876147.30253
62185.23,1229717180592.4397,28626429276.55382
60597.15,1197736450280.4102,28530748117.898792
60195.18,1189691671375.1472,29481971885.649742
62392.34,1233357176570.333,32008659336.482643
63207.77,1249002272717.2275,17665963646.417107
62829.53,1241241970951.0295,16784552979.060463
66049.99,1306085613997.8015,46553796134.14602
66962.22,1323774576161.621,51797932876.82809
67647.54,1337304399194.887,40640495380.19594
67328.11,1330387728623.8188,34512072357.92087
68465.62,1353541799303.4875,39984956633.228035
68388.87,1351942347611.1997,14110889435.452631
68962.83,1362381684459.9053,17253863432.786995
67394.86,1332326858574.4448,40485496091.95008
67351.05,1331426858508.4004,31398389967.38113
66683.97,1318285437546.2786,32676918488.059
68214.05,1347888109010.5889,35892606570.03549
66585.67,1313975091942.221,48426924850.053406
67018.17,1325192118637.2595,21169467789.89267
67938.55,1343350549900.1233,16533385730.434193
69845.3,1380874923096.4146,41990540384.96554
72781.11,1439310420089.3665,65487782004.97014
72342.62,1431085552900.1965,43498144313.67304
70265.0,1390195908292.9321,45907074188.570145
69507.92,1374687306836.925,54863092261.31101
69299.16,1370516856365.7996,14709379754.965973
68803.51,1362302032218.0198,37659435506.757034
67793.3,1340192510479.9568,46183110993.79166
69335.43,1370963795352.6948,40025021601.49395
75620.89,1496392703840.9058,128492534668.23851
75987.24,1502620808927.6982,66590396087.4524
76550.02,1514048743889.1255,50687468387.720375
76630.23,1519470275068.1016,31430906055.796104
80466.72,1590846468754.067,93473126207.67865
88637.42,1756619702929.0437,133959805308.72511
88264.6,1741113172482.1243,152356811694.44943
90488.1,1790737763695.3328,136046309843.60645
87407.51,1726797438787.217,99649391847.08359
90947.98,1799276211921.9302,84382485697.84985
90606.45,1790415769635.4927,49255174407.368774
89841.47,1776887033229.9082,48556083101.64749
