price,market_cap,total_volume
132.6,62056036481.49285,2671734090.663905
136.21,63757976308.15953,1924374547.7035882
138.97,65041521980.833916,2224225923.3992066
137.18,64231025021.070015,1141559407.4449415
131.62,61583690049.17375,1781296503.1532538
131.52,61587188878.89927,2079969051.5704038
131.52,61598080482.36476,2150547014.163277
133.61,62403271563.93473,2755309741.192964
142.69,66808347524.87485,3564421946.2642255
146.48,68638372124.58108,3882733732.26317
149.67,70140329689.73108,1873292317.7490916
144.84,67842797097.467896,2044307162.0407553
144.89,67870222047.840904,2886324907.6015005
152.89,71709338801.75752,3787418563.3946958
148.11,69291597151.69516,2721186645.010609
155.47,72884471285.93079,3823684872.5730457
157.8,73978003988.83308,3684393153.83145
156.96,73518555009.73824,1727901443.7016873
158.62,74369588837.65268,2258758247.1894245
152.54,71395922727.94426,2919586309.5452104
145.21,68058487039.17453,4888868006.422661
140.45,65807677885.54672,3403092048.7701364
136.65,64050560287.44469,3660493468.511928
143.16,67069277149.62741,3107174327.531866
142.74,66856779428.43124,1404635947.7139452
146.35,68620543171.31388,1447038882.2257159
144.21,67824969530.69777,3411951971.0080686
143.43,67328950381.83993,2021753886.7147253
139.33,65433504789.60537,2070835887.6785858
138.76,65104986869.39701,2066229153.7766125
145.32,68238430125.58685,2171464128.91537
146.58,68817502222.73967,1342624320.0323367
147.49,69243494227.1722,1681570122.0230145
157.35,73962264985.11276,3436470403.8856783
154.62,72639268353.59418,4033304497.2522097
154.26,72422733078.47534,2755639617.513603
150.27,70573405283.51457,2717600021.312216
155.07,72886877673.2116,2035291815.7684128
159.59,74964939765.94617,1863265086.5618672
166.57,78229210681.92538,3153223457.134059
166.38,78180519224.39232,4851472927.708045
167.21,78495515410.02502,4409925954.917367
171.31,80605199376.19403,4820717293.719623
177.37,83303181938.57568,4352868535.962914
164.34,77285778632.20319,6060843280.997682
170.56,80185439054.50378,3465680935.5464296
176.63,83135834565.19875,3262906486.5268407
178.14,83861396528.21255,4573928546.776399
179.37,84365189646.56198,4626744759.960895
175.08,82365474416.0372,3787670946.354799
168.4,79289455541.87051,3406710809.991008
166.29,78250082081.93033,3797335906.931423
166.0,78131615349.70734,1957197289.8022513
162.67,76639755911.6,3328092038.7950063
157.61,74183140424.87337,3431380035.9552183
166.51,78482680246.56433,4231343887.3657613
187.17,88185066303.67917,12310513296.170946
196.2,92394882481.30789,6091288676.382452
199.83,94211532387.97975,7260188189.931466
200.17,94841594020.38661,4159056437.727218
210.19,99044422018.77545,11110901193.487217
222.64,105178890848.891,12984443505.89922
213.07,100554180075.78313,13290465438.161457
