price,market_cap,total_volume
4.5,6287510224.273228,250516173.8909979
4.57,6380261261.157521,235819198.91909763
4.88,6801942627.088998,215402945.14218858
4.79,6687595208.324718,144422796.48613095
4.75,6653275883.228501,88078037.77970535
4.5,6297707792.213655,112014170.68758318
4.59,6425438539.195291,138977159.94668952
4.55,6354911237.697642,129004975.69319938
4.39,6139008992.839395,130854105.08846244
4.28,5996448494.043213,138657819.3343978
4.29,6007956666.1854315,118623942.43336119
4.36,6112846616.438036,69885707.22657669
4.38,6152023872.20712,113058260.94891666
4.48,6273504584.833455,125628326.34896068
4.52,6344070844.126277,117237027.8390781
4.67,6532444946.253025,136255805.88918018
4.7,6588642605.285911,141397252.51148528
4.9,6877500256.663529,167502668.9740126
4.99,6993115976.599953,159026023.2196795
4.82,6771730331.951999,148264573.60392871
4.56,6414343763.209291,136719045.09252894
4.38,6152594412.050144,191719703.97579995
4.26,5997678663.423373,180877986.88138437
4.25,5970644051.466965,135782501.63077953
4.28,6024907727.218101,136666862.06032512
4.26,5987782460.952641,76678121.16161507
4.07,5736722483.169419,134642882.1592982
4.21,5921459854.04135,143607840.28596756
4.06,5741823631.853844,146039533.1513029
4.11,5776226465.168695,213634152.1439049
4.02,5654476288.026229,123219782.73134437
3.96,5581327964.677693,182056013.11504227
4.08,5744006959.070744,115705115.5579543
4.16,5870722684.781209,106719050.87802863
4.29,6052291379.998004,142487949.4049876
4.26,6004933256.546726,119332363.011816
4.19,5914317189.018625,164818293.27734548
4.29,6060744702.339041,128496405.46436028
4.43,6249853804.321581,164549069.20702937
4.44,6271406356.148856,123455069.65001212
4.4,6219423720.689656,151040762.08417338
4.2,5934892348.674873,161625857.0449203
4.15,5871308691.423786,168300938.40938827
4.16,5870933072.565236,212150116.05902457
4.25,6016778037.752348,226171685.8834989
4.33,6131934053.294479,201312069.4130975
4.47,6321873614.889656,147015333.50948438
4.31,6107717679.071393,143132040.98305592
4.45,6306336539.485603,190024936.55067483
